js,glory,Gurbani,1
iDAwieAw,"meditate on, remember, repeat name",Gurbani,4
Gt,"vessel, heart, being",Gurbani,1
jau,if,Gurbani,7
pMc,"five, select",Gurbani,19
goibd,"God (var - Govind, Govinda)",Gurbani,16
pwp,sin,Gurbani,2
pwr,"beyond, other shore",Gurbani,2
swihb,"Master, lord, term of respect",Gurbani,4
dieAw,mercy,Gurbani,4
khw,where,Gurbani,2
mwr,kill,Gurbani,2
rsnw,"tongue, speech",Gurbani,2
Dur,"destined, primal",Gurbani,7
BI,also (MP: vee),Gurbani,5
Bau,love,Gurbani,7
qb,then,Gurbani,1
pwrb´hm,"God, Transcendental Reality",Gurbani,2
ipr,Divine Spouse,Gurbani,3
inDwn,treasure,Gurbani,4
Cof,"abandon, leave",Gurbani,15
sgq,"association, company",Gurbani,1
vfBwgI,fortunate,Gurbani,6
qq,sublime essence,Gurbani,1
prm,supreme,Gurbani,1
kImq,"price, value",Gurbani,5
bwhr,"outside, besides",Gurbani,2
iqsnw,"thirst, desire",Gurbani,4
kwm,"lust, physical pleasures",Gurbani,2
drsn,"vision, experience of being in Presence",Gurbani,1
jl,water (mp - paanee),Gurbani,1
pwivh,paavna - to obtain,Gurbani,4
msqk,Forehead (MP mathaa),Gurbani,1
Brm,"doubt, confusion",Gurbani,1
kwieAw,"body, self",Gurbani,4
prIqm,beloved,Gurbani,5
mYl,impurity,Gurbani,13
visAw,dwells,Gurbani,4
prym,love,Gurbani,11
Agn,fire,Gurbani,1
Drm,"righteous actions, duty, religion",Gurbani,1
b´rm,Absolute Lord,Gurbani,1
dIAw,gave,Gurbani,6
bhuq,"much, lots, very",Gurbani,7
Pl,fruit,Gurbani,1
aUpr,"on, above",Gurbani,9
inrBau,free from fear,Gurbani,8
igAwnI,"wise, knowledgable",Gurbani,6
Ar,and,Gurbani,1
jq,"being, creature",Gurbani,1
kwr,"task, affair",Gurbani,2
nr,"Man, mortal",Gurbani,1
soBw,glory,Gurbani,16
mwn,"pride, honor",Gurbani,2
byd,Vedas (hindu scripture),Gurbani,11
iKn,"moment, instant",Gurbani,3
prwn,"life, breath",Gurbani,2
jl,water,Gurbani,1
ipqw,father,Gurbani,4
jgq,world,Gurbani,1
bDn,"bonds, fetters",Gurbani,1
jogI,"yogi, one seeking union with God",Gurbani,16
mIq,dear friend,Gurbani,5
rv,permeating,Gurbani,1
Aq,"end, limit",Gurbani,1
kwl,"death, time",Gurbani,2
kvn,which,Gurbani,1
rqn,gem,Gurbani,1
kUV,false,Gurbani,9
jg,world,Gurbani,1
sswr,world,Gurbani,2
AMqrjwmI,"Knower of deepest thoughts (God), Inner Guide",Gurbani,20
durmq,evil mindedness,Gurbani,7
imlwey,"help to meet, unite",Gurbani,12
swgr,ocean,Gurbani,2
prwpq,"possess, obtain",Gurbani,2
jwq,"caste, social status, species",Gurbani,2
kroD,"anger, wrath",Gurbani,15
AwT,eight,Gurbani,2
gopwl,"God, cherisher of the world",Gurbani,16
Et,support,Gurbani,1
pUjw,worship,Gurbani,10
Ardws,prayer,Gurbani,2
DUV,dust,Gurbani,9
pCwxY,(pachhananaa) to recognize,Gurbani,14
iqAwg,"abandon, give up, renounce",Gurbani,4
ipMfu,body,Gurbani,20
mITw,sweet (MP - mitha),Gurbani,6
Blw,good,Gurbani,2
mUrK,fool,Gurbani,9
inrMjn,"God, The One unsullied by Maya or pollution",Gurbani,20
pyK,pekhna - to see (syn. dekhna),Gurbani,11
kul,"clan, ancestory",Gurbani,7
mwqw,mother,Gurbani,2
sirst,"creation, universe",Gurbani,3
suq,"son, child",Gurbani,7
inkt,"near, close",Gurbani,3
hmwrw,"Our, my",Gurbani,2
aUcw,high,Gurbani,10
Bwg,"bhaagna - to run away; bhaag - fortune, destiny",Gurbani,2
qrY,"tarnaa -swim, be saved; taraana - to save, help to swim",Gurbani,13
icMqw,worry (MP - fikar) (achintaa - free from worry),Gurbani,20
nwrI,"woman, wife",Gurbani,6
klw,"art, technique",Gurbani,2
loB,greed,Gurbani,15
smrQ,"potent, capable",Gurbani,1
Ksm,"master, God",Gurbani,1
imq,measure (n),Gurbani,3
syj,bed; divine bed representing union between God and the soul bride,Gurbani,11
pg,foot,Gurbani,1
bwwq,"story, issue, conversation (syn. Gal)",Gurbani,2
BMfwru,"warehouse, treasure",Gurbani,20
kwrj,"affair, task",Gurbani,2
BrpUr,completely full,Gurbani,9
aupdys,"teachings, preaching",Gurbani,12
grB,womb,Gurbani,1
srIr,"body, self",Gurbani,5
ibAMqu,infinite; without an end,Gurbani,20
ibDwqw,"architect of destiny, God",Gurbani,4
mnorQ,"hope, desire",Gurbani,15
Avgun,"sin, weakness",Gurbani,7
is,"praise, glory",Gurbani,3
BMjnu,destroyer,Gurbani,20
bynqI,"prayer, request",Gurbani,12
jor,"power, to join (jorna)",Gurbani,15
inrMkwru,"The Formless One, God",Gurbani,20
prgws,"Light, enlightenment",Gurbani,2
ivkwr,"sins, evil",Gurbani,4
auDwry,udharnaa - to be liberated,Gurbani,12
visAw,"vasnaa - to live, abide, be enshrined",Gurbani,4
pdwrQ,"substance, essence, treasure",Gurbani,2
Bwr,"full, overflowing",Gurbani,2
aupwv,"effort, way or solution",Gurbani,8
vwjY,"rings, play as of music",Gurbani,14
Taur,"Sanctuary, place of rest, support",Gurbani,7
sMgI,companion,Gurbani,20
AwigAw,"command, direction",Gurbani,4
aUjl,"bright, pure",Gurbani,9
smwlY,"cherish, take care of, remember",Gurbani,14
jp,"repeat Name, medidate",Gurbani,1
sws,breath,Gurbani,2
moihAw,"mohanaa- to fascinate, attract",Gurbani,16
ivswr,forget; MP - bhulnaa,Gurbani,4
inrgux,without any merit; absolute and unmanifested (God),Gurbani,8
prweI,"stranger, not one of us, belonging to someone else",Gurbani,6
isAwnp,"cleverness, wisdom",Gurbani,4
kurbwn,sacrifice,Gurbani,8
cwnn,light,Gurbani,2
Dwvq,running (dhaavnaa - to run),Gurbani,2
pRiqpwl,"cherish, take care of (pratipalak - cherisher)",Gurbani,4
svwr,"to set right, decorate,",Gurbani,2
ADwr,support,Gurbani,2
bUJY,(v) understands,Gurbani,14
ibgsY,"blooms forth, joyous, radiant",Gurbani,14
jwnO,jananaa - to know,Gurbani,18
rwKw,"Protector (rakhshaa - protection), caretaker",Gurbani,2
srn,"shelter, protection (var. sharan, sarnaaee)",Gurbani,1
rho,"stay, remain",Gurbani,15
cqur,"clever, intelligent",Gurbani,7
Gnyry,"lots, great",Gurbani,11
swjy,"fashions, creates",Gurbani,12
drd,"Pain, suffering",Gurbani,1
aUTq,"while rising, standing; MP - uthnaa",Gurbani,9
bRhmMf,universe,Gurbani,19
AprwDI,"sinner, guilty",Gurbani,6
gl,"thing, talk",Gurbani,1
sovq,sleeping; sovana - to sleep,Gurbani,15
kIrqn,"singing praises, spiritual music",Gurbani,5
grIb,"poor, humble",Gurbani,5
Awtl,eternal,Gurbani,2
isAwnw,wise,Gurbani,4
sumq,sublime wisdom,Gurbani,7
mwgY,asks,Gurbani,14
vrn,n. color or caste; v. to desribe,Gurbani,1
Brvwsw,"trust, confidence. Var - bharosaa",Gurbani,2
dys,"abode, country, land",Gurbani,11
nmskwr,"salutation, bow in humility",Gurbani,2
nIkw,"good, sublime",Gurbani,6
Ahkwr,"pride, ego",Gurbani,2
myhrvwn,"generous, compassionate",Gurbani,12
swQI,companion,Gurbani,6
vYr,enmity (var. bair); vairee or bairee - enemy,Gurbani,13
AwigAwkwrI,obedient,Gurbani,6
lwg,(laagna) -to be attached,Gurbani,2
prvwr,family,Gurbani,2
svwry,improve,Gurbani,12
dlwl,"kind, generous",Gurbani,2
slwh,to praise,Gurbani,2
jwgnw,"to be awake, spiritually aware",Gurbani,2
smrQ,"potent, capable",Gurbani,1
Aj,Today,Punjabi,1
kt,Cut,Punjabi,1
Cq,Roof,Punjabi,1
Ql,Dry land,Punjabi,1
Ag,Fire,Punjabi,1
kd,Height,Punjabi,1
Ck,Eat,Punjabi,1
ds,"Ten, Tell",Punjabi,1
AK,Eye,Punjabi,1
Kp,Noise,Punjabi,1
Cl,Cheating,Punjabi,1
Dr,Put,Punjabi,1
sc,Truth,Punjabi,1
Kt,Earn,Punjabi,1
jl,Water,Punjabi,1
Dk,Push,Punjabi,1
sB,All,Punjabi,1
Kl,Skin,Punjabi,1
jg,Jug,Punjabi,1
nk,Nose,Punjabi,1
hQ,Hand,Punjabi,1
gl,Neck,Punjabi,1
jt,Farmer,Punjabi,1
nt,Nut,Punjabi,1
hs,Laugh,Punjabi,1
gT,Knot,Punjabi,1
Jg,Bubbles,Punjabi,1
pk,Ripe,Punjabi,1
hk,Right,Punjabi,1
Gr,House,Punjabi,1
